Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[05] DONGGALA,[091] TANANTOVEA,6817,163,2725,3929,81,3580,268,0,57.64,0,0,337,244
[05] DONGGALA,[100] SINDUE,9798,121,3537,6140,105,4593,1442,0,62.67,0,0,453,291
[05] DONGGALA,[101] SINDUE TOMBUSABORA,5342,53,1754,3535,21,3366,148,0,66.17,0,0,305,276
[05] DONGGALA,[102] SINDUE TOBATA,4194,68,1153,2973,3,2804,166,0,70.89,0,0,241,197
[05] DONGGALA,[120] SIRENJA,8457,93,2690,5674,100,4268,1306,0,67.09,0,0,378,463
[05] DONGGALA,[130] BALAESANG,9602,259,3449,5894,72,5417,405,0,61.38,0,0,470,376
[05] DONGGALA,[131] BALAESANG TANJUNG,4572,54,1680,2838,34,2748,56,0,62.07,0,0,208,221
[05] DONGGALA,[140] DAMPELAS,12698,217,5249,7232,108,6245,879,0,56.95,0,0,786,390
[05] DONGGALA,[160] SOJOL,10287,373,4504,5410,448,2098,2864,0,52.59,0,0,455,264
[05] DONGGALA,[161] SOJOL UTARA,4082,43,1258,2781,6,2439,336,0,68.13,0,0,129,114
[06] TOLI-TOLI,[010] DAMPAL SELATAN,9142,56,3703,5383,113,3958,1312,0,58.88,0,0,634,439
[06] TOLI-TOLI,[020] DAMPAL UTARA,5768,220,2318,3230,22,2720,488,0,56.0,0,0,341,363
[06] TOLI-TOLI,[030] DONDO,9521,282,2954,6285,23,5560,702,0,66.01,0,0,590,487
[06] TOLI-TOLI,[031] OGODEIDE,5255,67,2007,3181,8,3053,120,0,60.53,0,0,399,419
[06] TOLI-TOLI,[032] BASIDONDO,4364,300,1414,2650,8,2459,183,0,60.72,0,0,359,180
[06] TOLI-TOLI,[040] BAOLAN,27026,1247,11397,14382,513,11071,2798,0,53.22,0,0,2260,1595
[06] TOLI-TOLI,[041] LAMPASIO,4904,138,2156,2610,66,2094,450,0,53.22,0,0,388,155
[06] TOLI-TOLI,[050] GALANG,15196,652,6032,8512,106,7513,893,0,56.01,0,0,1289,761
[06] TOLI-TOLI,[060] TOLITOLI UTARA,7863,92,3166,4605,32,4120,453,0,58.57,0,0,616,409
[06] TOLI-TOLI,[061] DAKO PEMEAN,3966,240,1512,2214,64,1974,176,0,55.82,0,0,344,187
[07] BUOL,[000] -,133,68,39,26,0,0,0,26,19.55,0,0,42,0
[07] BUOL,[010] LAKEA,4880,159,1746,2975,353,2123,498,1,60.96,0,0,419,248
[07] BUOL,[011] BIAU,15256,861,6358,8037,449,6381,1201,6,52.68,0,0,1290,448
[07] BUOL,[012] KARAMAT,3976,188,1625,2163,104,1970,87,2,54.4,0,0,241,90
[07] BUOL,[020] MOMUNU,7152,566,2425,4161,140,3352,668,1,58.18,0,0,457,243
[07] BUOL,[021] TILOAN,3990,117,1564,2309,61,1730,517,1,57.87,0,0,322,153
[07] BUOL,[030] BOKAT,7363,422,2943,3998,176,3619,199,4,54.3,0,0,533,224
[07] BUOL,[031] BUKAL,5993,306,2474,3213,105,2973,133,2,53.61,0,0,446,96
[07] BUOL,[040] BUNOBOGU,4172,338,1528,2306,46,2046,214,0,55.27,0,0,359,102
[07] BUOL,[041] GADUNG,5178,233,1679,3266,46,2250,969,1,63.07,0,0,552,77
[07] BUOL,[050] PALELEH,5556,606,2112,2838,69,2657,111,1,51.08,0,0,399,126
[07] BUOL,[051] PALELEH BARAT,2588,213,856,1519,44,1279,195,1,58.69,0,0,204,102
[08] PARIGI MOUTONG,[010] SAUSU,8885,320,3495,5070,239,2620,2211,0,57.06,0,0,633,272
[08] PARIGI MOUTONG,[011] TORUE,9695,203,3078,6414,286,3778,2350,0,66.16,0,0,718,285
[08] PARIGI MOUTONG,[012] BALINGGI,7410,1,2786,4623,200,2132,2291,0,62.39,0,0,337,64
[08] PARIGI MOUTONG,[020] PARIGI,14689,217,7366,7106,591,3457,3054,4,48.38,0,0,692,524
[08] PARIGI MOUTONG,[021] PARIGI SELATAN,9698,87,4678,4933,433,3599,901,0,50.87,0,0,375,394
[08] PARIGI MOUTONG,[022] PARIGI BARAT,3214,47,1633,1534,30,1163,341,0,47.73,0,0,164,49
[08] PARIGI MOUTONG,[023] PARIGI UTARA,2507,51,763,1693,21,1001,671,0,67.53,0,0,127,30
[08] PARIGI MOUTONG,[024] PARIGI TENGAH,3745,253,1129,2363,53,1393,917,0,63.1,0,0,183,115
[08] PARIGI MOUTONG,[030] AMPIBABO,9996,173,3043,6780,24,6310,446,0,67.83,0,0,525,384
[08] PARIGI MOUTONG,[031] KASIMBAR,10160,347,4288,5525,156,3785,1584,0,54.38,0,0,469,359
[08] PARIGI MOUTONG,[032] TORIBULU,7004,27,2007,4970,525,3623,822,0,70.96,0,0,337,354
[08] PARIGI MOUTONG,[033] SINIU,4457,139,1472,2846,243,1221,1382,0,63.85,0,0,222,272
[08] PARIGI MOUTONG,[040] TINOMBO,9106,284,3164,5658,119,5020,519,0,62.13,0,0,600,282
